store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,L'Aubergine,Heliopolis,27,2.2,15.61,31.1866,30.1139
210,Felfela,Heliopolis,11,2.8,70.3,31.007,29.992
220,TBS,Maadi,30,1.4,20.92,31.5104,30.0804
230,Tabasco,Katameya,30,1.5,33.01,31.4957,30.1558
240,Greco,City Stars,30,4.3,55.69,31.0653,30.038
250,Philz Coffee,Sheikh Zayed,14,3.9,67.4,31.5038,30.0944
260,Le Deck,Sheikh Zayed,23,4.8,51.46,31.5002,30.0906
270,One Oak,City Stars,24,4.6,51.64,31.2016,30.0414
280,Abou El Sid,Mall of Arabia,5,3.1,26.67,31.3176,29.9798
290,Sachi,Downtown Cairo,14,2.8,60.48,31.3017,30.0938
300,Sip Coffee,Rehab,17,4.0,22.15,31.1899,29.9251
310,Second Cup,Rehab,9,1.7,45.61,31.5237,29.9339
320,Harris + Hoole,Korba,9,3.4,74.91,31.0451,29.9668
330,Brioche Dorée,Rehab,25,1.9,20.24,31.5062,30.1787
340,Arabica,Nasr City,26,1.7,69.26,31.4804,30.1909
