customer_id,longitude,latitude,store200_valuation,store210_valuation,store220_valuation,store230_valuation,store240_valuation,store250_valuation,store260_valuation,store270_valuation,store280_valuation,store290_valuation,store300_valuation,store310_valuation,store320_valuation,store330_valuation,store340_valuation
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
1,31.017,30.043,2.8,2.6,4.1,4.3,4.5,2.3,3.7,1.0,4.0,1.8,4.7,4.9,1.6,1.2,3.2
2,31.3369,30.1558,4.8,2.8,4.1,2.8,1.1,1.3,2.0,3.8,1.2,4.7,4.2,5.0,1.3,4.7,1.5
2,31.3369,30.1558,4.8,2.8,4.1,2.8,1.1,1.3,2.0,3.8,1.2,4.7,4.2,5.0,1.3,4.7,1.5
