store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Texas Roadhouse,Sheraton,19,2.1,38.29,31.5475,30.0497
210,Casper & Gambini's,Heliopolis,21,4.0,71.57,31.5736,30.1612
220,Cafe,Heliopolis,5,2.0,44.92,31.1044,30.043
230,Joe & The Juice,Korba,18,3.6,53.74,31.0584,30.0806
240,The Tap,Zamalek,23,1.3,50.02,31.4338,30.0195
250,Café Corniche,New Cairo,19,3.0,70.91,31.1382,29.9911
260,Peet's Coffee,Mall of Arabia,26,3.0,66.3,31.2323,30.0516
270,Blue Bottle,Maadi,8,3.7,74.91,31.2811,30.0277
280,Black Horse,Dokki,24,3.7,33.49,31.4433,30.1958
290,Mandarine Koueider,6th October,27,4.2,24.32,31.5245,30.1307
300,Coffee Bean,Nasr City,7,4.8,60.82,31.0838,29.9745
310,Caviar & Bull,City Stars,10,3.1,44.34,31.1354,29.9331
320,Osmow's,Dokki,24,3.0,71.05,31.1439,30.158
330,Street 9,Zamalek,20,4.7,58.86,31.2294,30.1484
340,Tabali,City Stars,20,1.4,42.68,31.5887,29.9493
