store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Pub 28,Maadi,7,2.4,71.22,31.0545,30.1449
210,La Poire,Maadi,23,4.4,64.3,31.1584,30.1825
220,Tseppas,Maadi,13,3.5,16.76,31.0398,29.9472
230,Flavour Republic,Downtown Cairo,13,3.1,66.63,31.0218,29.9913
240,Mince,Mall of Arabia,27,2.6,33.63,31.2937,30.0948
250,Stage One,Dokki,21,1.7,62.41,31.3288,30.1751
260,Momochi,Mall of Arabia,28,2.7,25.99,31.1974,29.9803
270,Cafe,Maadi,15,1.1,27.35,31.5974,29.9243
280,Coffee #1,Mall of Arabia,15,1.5,73.01,31.4033,30.0063
290,Piano Piano,October Plaza,12,4.2,66.66,31.5565,29.966
300,Buffalo Burger,October Plaza,30,1.9,68.2,31.3516,30.0103
310,Casper & Gambini's,October Plaza,15,1.1,50.05,31.3897,30.19
320,Bird Cage,Madinet Nasr,28,1.9,67.8,31.4056,30.1316
330,Bua Khao,Downtown Cairo,9,2.8,37.23,31.4948,30.0385
340,L'Aubergine,Dokki,5,1.3,68.23,31.0883,30.0099
