store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Tabasco,Rehab,5,2.4,63.15,31.171,30.1912
210,The Greens,Garden City,30,1.5,25.13,31.3712,30.1436
220,Café Corniche,Sheraton,10,1.6,59.93,31.3378,30.0591
230,Coffee Bean,El Tagamoa,11,3.8,64.86,31.1798,29.9387
240,Krispy Kreme,Nasr City,16,1.5,21.92,31.0799,29.9911
250,Stage One,Garden City,28,3.0,38.28,31.0925,30.0088
260,Pottery Cafe,Nasr City,24,4.4,26.19,31.1053,30.12
270,Osmow's,Garden City,24,2.4,32.91,31.2143,30.1867
280,Arabica,Sheikh Zayed,5,2.4,36.97,31.5422,30.1862
290,L'Aubergine,El Tagamoa,12,4.0,58.87,31.135,29.9605
300,La Poire,El Tagamoa,22,1.8,42.46,31.0738,30.1966
310,The Tap,New Cairo,20,4.7,58.37,31.2239,30.0112
320,Beano's,Garden City,20,3.1,35.46,31.0048,30.156
330,Nero Caffè,5th Settlement,17,2.9,46.42,31.1044,29.9067
340,Sip Coffee,5th Settlement,15,3.7,54.52,31.431,30.0527
