customer_id,longitude,latitude,store200_valuation,store210_valuation,store220_valuation,store230_valuation,store240_valuation,store250_valuation,store260_valuation,store270_valuation,store280_valuation,store290_valuation,store300_valuation,store310_valuation,store320_valuation,store330_valuation,store340_valuation
1,31.1976,29.9366,2.3,4.8,2.4,0.0,0.0,2.7,0.0,2.9,4.8,3.0,2.8,2.5,3.4,4.3,4.4
2,31.2205,30.0438,1.1,0.0,2.1,1.7,3.4,3.4,0.0,1.8,0.0,2.7,0.0,4.0,2.1,1.7,2.1
3,31.5256,29.9223,1.4,0.0,1.5,4.1,1.1,4.9,1.2,2.8,3.6,4.9,1.7,0.0,1.2,0.0,3.0
4,31.319,30.1679,4.7,2.2,0.0,0.0,3.7,1.0,4.4,1.7,1.6,5.0,4.1,4.0,1.9,0.0,1.1
5,31.3445,29.9605,0.0,2.5,3.6,0.0,4.6,2.0,2.1,1.2,4.3,2.0,4.5,4.9,4.6,4.8,1.3
6,31.5375,30.1041,3.9,3.6,1.2,3.1,3.6,4.7,3.9,3.2,4.8,4.4,0.0,3.7,1.7,4.0,2.6
7,31.507,30.0819,3.8,1.0,2.5,0.0,0.0,2.5,2.3,4.5,0.0,1.4,0.0,4.3,4.4,2.3,1.1
8,31.3574,29.9657,2.6,2.7,3.7,2.1,1.9,2.2,1.2,4.2,2.6,1.8,3.6,2.4,1.0,0.0,1.1
9,31.0487,30.126,0.0,4.7,3.9,4.7,3.2,4.3,2.8,4.5,1.1,2.5,1.6,0.0,4.0,2.8,1.2
10,31.3786,29.9147,4.2,2.7,1.7,3.2,0.0,4.1,4.9,3.9,3.6,4.9,3.9,2.3,3.1,1.6,0.0
11,31.2127,30.0879,4.5,2.8,0.0,4.7,1.4,4.2,0.0,3.4,4.6,1.6,3.0,3.2,3.9,0.0,0.0
12,31.5676,30.1745,2.7,2.8,2.1,4.6,4.3,0.0,3.0,3.3,2.3,4.3,1.6,4.4,3.7,2.0,4.8
13,31.2995,29.9766,4.8,1.7,2.1,1.2,2.7,1.1,2.9,0.0,4.9,0.0,2.5,4.7,3.9,3.1,1.4
14,31.2645,29.9979,1.6,0.0,2.5,0.0,3.7,3.9,0.0,1.9,3.0,4.0,2.4,4.6,1.5,0.0,0.0
15,31.4797,30.1117,4.9,1.7,2.3,3.1,3.5,1.6,4.2,2.0,2.1,1.6,1.4,4.3,4.1,1.4,2.9
16,31.0126,30.0138,0.0,4.3,3.2,1.9,2.9,1.5,2.2,1.1,2.3,3.6,4.9,5.0,0.0,1.8,1.4
17,31.1962,29.9369,1.3,4.4,1.4,0.0,1.8,2.7,1.8,0.0,0.0,4.0,4.0,1.9,0.0,0.0,3.3
18,31.3838,30.002,4.7,1.2,2.1,0.0,2.9,0.0,2.2,1.4,3.2,3.3,1.6,1.8,2.0,2.7,3.5
19,31.356,29.9044,3.2,4.2,3.0,1.4,0.0,3.8,1.9,4.7,1.9,4.3,0.0,4.1,1.0,2.5,4.5
20,31.1934,30.1439,2.2,2.4,0.0,4.0,0.0,2.0,0.0,0.0,2.6,4.0,1.9,3.5,2.1,0.0,2.1
21,31.5104,30.1135,3.3,0.0,0.0,0.0,2.9,2.3,0.0,2.1,0.0,2.2,1.5,1.8,2.1,0.0,3.2
22,31.5665,30.1318,2.3,2.4,0.0,2.1,3.0,0.0,0.0,4.2,2.8,2.2,3.1,3.5,4.7,0.0,3.7
