store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Tim Hortons,Korba,25,3.7,33.63,31.1743,30.1246
210,Second Cup,Downtown Cairo,20,3.0,22.9,31.2949,30.0635
220,Domino's,City Stars,30,3.0,66.28,31.0332,30.1478
230,Crimson,City Stars,26,2.7,66.1,31.5785,30.186
240,Fasahet Soumaya,5th Settlement,16,3.5,15.54,31.4784,30.1094
250,Cinnabon,City Stars,22,4.0,43.55,31.4905,30.039
260,Beano's,El Tagamoa,26,3.2,40.78,31.1287,30.1506
270,Coffee Republic,Zamalek,19,2.2,67.54,31.304,29.9943
280,Caffè Ritazza,Mohandessin,21,2.4,18.79,31.4047,29.9413
290,Pret A Manger,Heliopolis,16,1.1,61.38,31.3944,30.0273
300,Segafredo,Garden City,29,4.1,23.03,31.3091,30.077
310,Caribou Coffee,6th October,11,4.2,28.38,31.3596,29.9519
320,Abou El Sid,Katameya,12,4.8,25.71,31.2066,29.9138
330,Bakehouse,Katameya,30,4.7,26.06,31.052,30.1923
340,Krispy Kreme,Madinet Nasr,19,3.1,67.16,31.396,29.93
