store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Felfela,Mohandessin,6,3.5,20.68,31.4035,30.031
210,Qahwa,El Tagamoa,27,4.8,23.01,31.2373,30.103
220,Krispy Kreme,Katameya,12,4.2,55.61,31.2091,30.0901
230,Coffee Republic,Sheikh Zayed,9,3.2,53.32,31.2016,30.0684
240,Mo'men,6th October,12,4.8,46.81,31.2186,29.9067
250,Casper & Gambini's,New Cairo,25,3.6,20.23,31.4421,29.9803
260,Café Corniche,El Tagamoa,13,3.9,24.95,31.4065,30.1866
270,Drip,City Stars,9,1.4,70.19,31.2362,30.1789
280,Cairo Kitchen,Americana Plaza,27,4.5,27.73,31.4171,29.9607
290,Ovio,Madinet Nasr,12,4.2,53.72,31.2227,29.9889
300,Lucille's,Heliopolis,11,1.2,66.91,31.0136,29.9022
310,Sachi,Sheikh Zayed,21,3.5,42.39,31.3101,30.0892
320,Séquence,Nasr City,9,3.9,50.2,31.467,29.9166
330,Espresso Lab,Maadi,10,2.3,44.18,31.0196,30.079
340,Koffee Kulture,Korba,28,3.1,54.72,31.1301,29.9201
