store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Cilantro,Cairo Festival City,28,2.9,38.42,31.4042,30.0449
210,Osmow's,Garden City,26,3.4,25.66,31.3754,30.1368
220,Cairo Kitchen,Cairo Festival City,22,4.2,33.27,31.3732,30.0794
230,Zooba,El Tagamoa,12,2.6,49.98,31.3689,30.0953
240,L'Aroma,Cairo Festival City,6,1.2,55.97,31.0811,30.1026
250,Le Deck,Katameya,27,2.2,64.99,31.0324,30.1844
260,Piano Piano,Rehab,30,4.4,23.89,31.4996,29.9576
270,Cake Cafe,El Tagamoa,26,1.9,36.4,31.1862,30.1833
280,Flavour Republic,Americana Plaza,21,4.0,69.25,31.4795,30.0775
290,Dunkin,Heliopolis,27,4.1,61.29,31.152,30.0642
300,Salt,Zamalek,14,4.3,55.74,31.1504,29.9058
310,Taboula,City Stars,5,3.3,53.06,31.1472,30.1202
320,Qahwa,Dokki,24,4.0,21.21,31.3488,30.157
330,La Poire,Nasr City,26,2.7,18.37,31.4828,30.1111
340,Caribou Coffee,Mall of Arabia,8,2.1,25.65,31.1532,29.9935
