store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Zooba,Dokki,28,4.6,72.82,31.035,30.1637
210,Dunkin,Americana Plaza,22,2.4,24.69,31.0971,30.0267
220,Séquence,Sheikh Zayed,16,2.6,22.36,31.2186,29.9496
230,Paul,6th October,10,4.1,41.39,31.0875,30.0654
240,Espresso House,Korba,17,1.5,74.72,31.2044,30.1928
250,Coffee Republic,New Cairo,14,2.4,23.76,31.5924,29.91
260,Tseppas,Downtown Cairo,9,3.1,42.12,31.0313,29.9307
270,Segafredo,6th October,17,4.1,74.63,31.2185,29.9921
280,The Greens,Downtown Cairo,16,1.9,56.24,31.4663,30.1592
290,Abou El Sid,New Cairo,30,2.6,33.15,31.3528,29.9205
300,Lavazza,5th Settlement,7,4.3,42.39,31.5225,30.0887
310,Mo'men,Agouza,16,4.4,64.63,31.2934,29.9798
320,Chickin Worx,Zamalek,18,5.0,34.08,31.0082,29.9552
330,Fasahet Soumaya,Cairo Festival City,14,3.6,23.33,31.3019,30.0132
340,Aperitivo,New Cairo,27,2.2,52.15,31.3245,29.9807
