store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Black Horse,City Stars,23,1.9,40.26,31.2154,30.176
210,The Tap,Sheikh Zayed,6,2.9,48.78,31.0191,29.9643
220,Pub 28,El Tagamoa,12,1.7,69.83,31.1028,30.1979
230,Zooba,Katameya,17,2.4,31.95,31.5505,30.0
240,Sequoia,Korba,14,1.5,60.29,31.4259,30.0621
250,Caffè Ritazza,Zamalek,30,4.8,50.78,31.1541,29.9727
260,Tim Hortons,Mohandessin,9,3.1,48.43,31.0244,29.9866
270,Sip Coffee,Garden City,16,2.1,60.39,31.3327,30.0977
280,Brown Nose,City Stars,27,4.4,49.14,31.0146,29.9632
290,Blue Bottle,Americana Plaza,17,3.7,63.55,31.31,30.0724
300,Sangria,El Tagamoa,22,4.8,53.34,31.5734,29.9063
310,Stage One,5th Settlement,10,3.7,67.39,31.2836,29.9211
320,Tabasco,6th October,26,4.2,50.14,31.5804,30.1535
330,One Oak,New Cairo,9,2.6,31.03,31.2023,29.9583
340,Drip,Mohandessin,25,3.0,48.43,31.5255,29.9761
