store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Qahwa,Downtown Cairo,29,4.5,54.73,31.4664,30.0158
210,Dutch Bros,Rehab,5,1.7,50.35,31.1683,30.1801
220,Cairo Kitchen,Mall of Arabia,18,1.3,19.21,31.2756,29.9461
230,Hard Rock Cafe,Cairo Festival City,29,1.2,18.83,31.5635,29.9258
240,Sequoia,Garden City,27,1.9,36.37,31.388,30.037
250,Salt,October Plaza,24,4.7,64.42,31.2798,30.062
260,Koffee Kulture,Downtown Cairo,15,1.1,38.14,31.4178,29.9013
270,Street 9,Heliopolis,15,3.0,61.53,31.2509,30.1755
280,Pret A Manger,Dokki,6,4.9,74.56,31.1944,30.0377
290,Sedra,Nasr City,10,1.9,40.06,31.3488,29.9775
300,Séquence,Dokki,30,3.8,35.0,31.2529,29.9637
310,Nero Caffè,5th Settlement,20,4.1,66.11,31.2983,29.9435
320,Lavazza,Mall of Arabia,15,1.5,43.94,31.5343,30.0835
330,Casper & Gambini's,Downtown Cairo,14,3.6,32.55,31.2012,30.1099
340,The Greens,Dokki,25,2.7,44.71,31.4087,30.1565
