store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,The Greens,Agouza,29,2.5,43.17,31.0894,29.9136
210,Domino's,El Tagamoa,11,1.3,67.74,31.0848,30.0223
220,Momochi,Korba,11,1.8,30.79,31.1446,29.9187
230,Pret A Manger,Americana Plaza,16,1.3,45.91,31.3016,30.0091
240,Joe & The Juice,Sheikh Zayed,21,2.0,48.72,31.1095,30.1243
250,Cinnabon,October Plaza,29,4.1,60.6,31.4962,30.1
260,Salt,Cairo Festival City,24,2.1,34.05,31.3163,30.0983
270,Stiletto,October Plaza,17,3.2,29.65,31.4506,30.092
280,Abou El Sid,New Cairo,6,1.2,29.99,31.1568,29.9568
290,Cake Cafe,Sheikh Zayed,18,1.5,42.46,31.4503,30.1121
300,Piano Piano,Sheikh Zayed,19,2.4,66.0,31.4627,29.9544
310,L'Aubergine,El Tagamoa,30,3.4,68.49,31.528,29.953
320,Arabica,El Tagamoa,23,2.5,50.62,31.3572,30.0015
330,Cafe,Sheikh Zayed,12,1.6,28.96,31.4395,30.0812
340,Espresso House,Sheikh Zayed,17,4.5,53.14,31.0192,29.9377
