store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Mori Sushi,Garden City,21,2.5,37.52,31.0811,29.9662
210,Left Bank,New Cairo,25,4.5,18.09,31.5348,30.1695
220,Costa Coffee,Garden City,11,4.4,42.55,31.381,30.0073
230,Tim Hortons,City Stars,27,2.8,63.03,31.5466,30.1424
240,Greco,5th Settlement,18,3.5,60.52,31.1509,30.0827
250,Café Corniche,Nasr City,9,2.4,56.94,31.0019,30.0088
260,Sachi,Korba,12,2.2,69.08,31.196,29.9823
270,Beano's,El Tagamoa,16,2.5,16.69,31.4642,30.1368
280,L'Aubergine,City Stars,16,3.6,73.53,31.2192,30.0417
290,Flavour Republic,El Tagamoa,30,4.3,27.63,31.1056,29.9697
300,Peet's Coffee,Dokki,7,3.5,46.67,31.304,29.9372
310,Coffeeshop Company,Downtown Cairo,10,1.9,20.65,31.4614,30.0198
320,Bird Cage,Sheraton,13,2.7,25.63,31.0014,30.1211
330,Abou El Sid,6th October,14,1.1,59.58,31.3518,30.1808
340,Arabica,Agouza,16,1.8,67.67,31.0269,30.0056
