store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,The Greens,Garden City,27,1.2,45.69,31.5138,29.9363
210,Coffeeshop Company,Nasr City,12,2.2,58.44,31.0038,30.0558
220,Street 9,Downtown Cairo,30,1.9,42.1,31.3732,29.9906
230,Hard Rock Cafe,Heliopolis,26,2.0,38.12,31.1882,30.0373
240,Brown Nose,Sheraton,5,1.9,29.3,31.3383,30.0552
250,Pret A Manger,New Cairo,7,2.4,67.97,31.3497,30.052
260,Casper & Gambini's,Maadi,9,3.3,63.55,31.5371,30.1722
270,Kaito,Sheraton,16,4.5,28.27,31.0265,30.0684
280,La Poire,6th October,28,3.1,37.91,31.13,30.0855
290,The Tap,Agouza,14,2.9,25.82,31.4819,30.0545
300,Kazoku,Rehab,30,3.0,67.46,31.3827,30.0756
310,The Bakery,Madinet Nasr,9,4.8,42.24,31.127,29.9679
320,Joe & The Juice,Katameya,26,2.9,62.13,31.2135,30.1924
330,Espresso Lab,Cairo Festival City,17,2.5,50.6,31.1122,30.1557
340,Pier 88,Mohandessin,9,4.5,62.27,31.2846,30.134
