store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Drip,New Cairo,17,3.5,67.53,31.3198,29.9588
210,Zooba,Sheikh Zayed,18,4.3,54.78,31.4019,30.0145
220,Sachi,Downtown Cairo,11,3.1,51.55,31.5719,30.1327
230,Deli 29,Mall of Arabia,23,3.4,37.71,31.5558,30.0147
240,Black Horse,6th October,14,3.0,21.76,31.1738,30.0764
250,Segafredo,Mall of Arabia,27,2.5,57.16,31.5657,30.139
260,Beano's,Dokki,29,2.0,15.91,31.1759,30.1736
270,Pret A Manger,Maadi,8,4.0,43.23,31.1465,30.1434
280,The Greens,Sheraton,30,1.5,28.23,31.1349,30.1076
290,Tseppas,Garden City,12,4.7,44.81,31.021,30.1009
300,Coffeeshop Company,El Tagamoa,15,1.6,41.19,31.0418,29.9791
310,Birdcage,Maadi,30,1.5,55.56,31.4084,30.1362
320,Lucille's,Maadi,24,1.2,28.24,31.3723,30.2
330,Brioche Dorée,Sheikh Zayed,11,1.2,31.44,31.2937,29.9634
340,Sangria,Zamalek,18,2.9,15.57,31.4638,29.9922
