store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Joe & The Juice,Maadi,18,1.2,23.62,31.137,30.0321
210,Paul,Katameya,29,2.0,62.04,31.1867,30.1542
220,Coffee #1,Sheikh Zayed,14,4.4,42.02,31.3478,30.0521
230,Coffee Republic,Heliopolis,24,2.5,47.85,31.1181,30.1083
240,Dunkin,Heliopolis,21,1.4,67.4,31.1148,30.1922
250,Hard Rock Cafe,5th Settlement,12,2.4,17.46,31.1196,30.0792
260,Aperitivo,Garden City,28,1.9,24.44,31.1803,29.9362
270,Andrea Mariouteya,Mall of Arabia,5,4.6,23.0,31.0267,29.9224
280,Casper & Gambini's,Korba,28,1.5,15.5,31.4696,30.1628
290,Piano Piano,Madinet Nasr,8,3.5,44.31,31.2046,30.0816
300,Gloria Jean's,Downtown Cairo,19,1.7,68.72,31.0965,30.1933
310,Qahwa,Zamalek,26,4.7,44.18,31.4903,30.1599
320,Lavazza,Madinet Nasr,18,3.0,60.19,31.3778,30.0527
330,Peet's Coffee,October Plaza,25,4.2,34.13,31.0603,30.0482
340,Ovio,Korba,21,1.7,60.41,31.527,30.1992
