store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Cinnabon,Rehab,25,2.0,46.63,31.588,30.15
210,Lucille's,5th Settlement,11,4.1,23.53,31.3792,29.9456
220,Qahwa,Downtown Cairo,19,1.7,39.95,31.2339,29.9903
230,Brioche Dorée,Katameya,30,3.3,22.06,31.42,30.0889
240,Taboula,Agouza,6,4.5,29.19,31.4688,30.0647
250,Sedra,Maadi,15,4.1,42.91,31.013,30.0082
260,Joe & The Juice,Heliopolis,25,1.5,20.13,31.2312,29.9601
270,Tseppas,Cairo Festival City,18,4.9,32.68,31.3606,30.04
280,Pier 88,Heliopolis,11,2.6,47.07,31.1117,30.0014
290,Brown Nose,Mohandessin,28,1.7,34.23,31.3669,30.1627
300,Street 9,Mall of Arabia,21,2.6,16.28,31.3382,29.9243
310,Cilantro,Sheikh Zayed,22,1.6,35.29,31.1331,30.1609
320,Illy,Sheikh Zayed,17,2.4,32.46,31.4106,30.0867
330,The Bakery,Mohandessin,21,4.0,39.87,31.2729,29.9997
340,Deli 29,Rehab,29,2.2,56.13,31.1883,30.1697
