store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Gloria Jean's,Nasr City,28,3.9,44.54,31.0354,30.1734
210,Casper & Gambini's,6th October,14,1.1,55.25,31.5984,30.0876
220,Cairo Kitchen,Garden City,29,4.6,53.8,31.5825,29.9473
230,Tchibo,Garden City,22,4.6,47.53,31.1544,30.1358
240,Chickin Worx,Madinet Nasr,23,1.9,52.04,31.4991,29.9096
250,Espresso Lab,El Tagamoa,24,1.9,32.01,31.0587,30.151
260,Zooba,Rehab,17,4.6,67.81,31.5794,30.1252
270,Auntie Anne's,Maadi,17,5.0,44.38,31.1184,29.9921
280,Brown Nose,Zamalek,27,5.0,35.91,31.267,30.1976
290,Mozzarella,6th October,24,3.3,57.84,31.0883,29.9492
300,Street 9,Agouza,26,3.9,61.91,31.4354,29.9948
310,Maison Thomas,Garden City,10,3.9,25.77,31.3235,29.9889
320,Pier 88,6th October,7,4.8,16.17,31.2736,30.1573
330,Segafredo,Heliopolis,7,4.8,29.73,31.5875,30.1482
340,Cake Cafe,Dokki,10,3.7,22.04,31.0116,30.0595
