store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Birdcage,Mohandessin,14,4.4,27.36,31.4054,30.1809
210,Cafe,Sheikh Zayed,30,2.4,33.64,31.1994,30.0898
220,Coffeeshop Company,City Stars,21,1.8,30.02,31.5841,29.9658
230,Momochi,El Tagamoa,25,2.5,15.33,31.0507,29.912
240,Harris + Hoole,City Stars,16,2.8,61.51,31.5167,29.9282
250,Mori Sushi,Sheikh Zayed,26,3.2,52.66,31.0456,30.0434
260,L'Aroma,6th October,5,1.8,37.51,31.258,30.1286
270,Kaito,Americana Plaza,12,2.1,25.1,31.474,30.0232
280,Tabasco,El Tagamoa,8,3.5,20.77,31.1133,30.0807
290,Arabica,October Plaza,6,2.2,17.1,31.4881,30.1968
300,Bird Cage,El Tagamoa,21,3.6,73.4,31.2649,30.0002
310,Tabali,6th October,12,2.4,17.16,31.5545,29.9157
320,Mo'men,Dokki,22,2.6,32.6,31.0113,30.1919
330,Kazoku,Madinet Nasr,27,1.4,22.4,31.317,30.1454
340,Paul,City Stars,16,4.5,69.25,31.2603,30.1749
