store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,La Poire,New Cairo,8,3.7,30.73,31.5894,30.0265
210,Bua Khao,El Tagamoa,5,1.7,65.27,31.5541,29.9884
220,Philz Coffee,Americana Plaza,11,1.9,63.99,31.2568,30.1213
230,Pier 88,Zamalek,7,3.5,15.27,31.1613,30.1705
240,Espresso Lab,Madinet Nasr,29,3.4,66.35,31.1117,30.1755
250,Taboula,El Tagamoa,8,4.7,48.35,31.0634,30.0561
260,Sachi,Madinet Nasr,20,1.7,53.3,31.0529,30.1996
270,Cinnabon,Zamalek,10,2.7,20.49,31.1093,29.9144
280,Arabica,Mohandessin,30,2.2,31.72,31.4509,29.9912
290,Aperitivo,Americana Plaza,14,1.4,18.29,31.1834,29.9578
300,Al Masryeen,Cairo Festival City,26,1.2,38.72,31.5517,30.1811
310,Blue Bottle,Maadi,8,2.3,18.02,31.5484,30.1501
320,LuckyEgypt,Dokki,5,1.4,45.93,31.3714,29.9239
330,Qahwa,Zamalek,11,3.7,22.03,31.3731,30.0323
340,Mozzarella,El Tagamoa,25,2.9,47.31,31.3168,29.9373
