store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Bua Khao,6th October,30,2.2,17.58,31.0709,30.08
210,Piano Piano,6th October,23,3.7,73.62,31.3114,30.1496
220,Stiletto,Mohandessin,29,1.3,55.98,31.0495,30.1389
230,Pier 88,New Cairo,13,3.8,41.79,31.3114,29.9692
240,Dutch Bros,Cairo Festival City,23,2.9,45.89,31.2739,30.0593
250,Al Masryeen,Nasr City,30,3.9,37.21,31.3407,30.0329
260,Espresso House,New Cairo,16,5.0,49.23,31.3103,30.1758
270,Bird Cage,New Cairo,15,2.5,48.87,31.2695,30.0512
280,Chickin Worx,Korba,5,4.6,49.76,31.1601,30.1106
290,Sip Coffee,Katameya,18,2.0,33.11,31.4206,30.1512
300,Second Cup,Korba,13,1.5,48.27,31.2901,29.9563
310,La Poire,El Tagamoa,22,3.7,37.77,31.0499,30.149
320,LuckyEgypt,Sheraton,14,3.6,32.45,31.2993,30.0421
330,Le Deck,6th October,26,2.7,49.63,31.4487,30.0198
340,Sangria,Maadi,12,4.7,35.16,31.4713,29.9912
