store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Dunkin,5th Settlement,10,1.1,40.17,31.5193,30.116
210,Moishi,Maadi,13,4.2,60.12,31.2273,30.0788
220,One Oak,Sheraton,29,5.0,56.05,31.5395,30.1436
230,Casper & Gambini's,Americana Plaza,30,1.8,72.07,31.3193,30.0968
240,Cake Cafe,El Tagamoa,14,1.2,50.08,31.2201,30.0526
250,Zooba,Madinet Nasr,27,1.8,38.48,31.4261,30.1482
260,Costa Coffee,Sheikh Zayed,17,2.7,67.43,31.5995,30.0605
270,Arabica,Mohandessin,16,2.6,54.32,31.1426,29.99
280,Tabasco,October Plaza,24,4.9,43.93,31.2044,30.0949
290,Bua Khao,Dokki,9,3.9,73.33,31.0959,29.9858
300,Dutch Bros,Americana Plaza,22,4.3,49.24,31.431,30.0334
310,Sangria,Garden City,30,4.6,57.03,31.524,30.0549
320,Pink Palms,Sheikh Zayed,28,2.4,42.43,31.0895,30.0355
330,Texas Roadhouse,Nasr City,12,2.3,29.99,31.4868,30.0066
340,Crimson,Heliopolis,30,1.0,44.16,31.1906,30.0346
