store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Dunkin,Americana Plaza,6,2.2,74.68,31.1325,29.9355
210,Tabali,Maadi,6,3.4,64.22,31.3541,30.1821
220,Andrea Mariouteya,Sheikh Zayed,30,1.2,17.54,31.3822,29.9621
230,Zooba,Korba,14,3.5,35.26,31.5936,30.1986
240,Caribou Coffee,Dokki,12,4.0,53.29,31.1208,30.1553
250,Tabasco,6th October,16,4.5,22.91,31.468,30.0437
260,Cilantro,Maadi,27,4.8,33.78,31.5081,29.9294
270,Espresso House,El Tagamoa,14,3.6,27.35,31.1326,30.0799
280,Left Bank,Maadi,13,5.0,27.83,31.0168,30.0044
290,Pier 88,Dokki,8,3.0,38.74,31.4333,30.0812
300,Pottery Cafe,Downtown Cairo,15,3.0,41.08,31.0693,30.057
310,Mozzarella,Dokki,21,2.0,38.43,31.159,29.9652
320,Gloria Jean's,Maadi,13,1.9,44.44,31.0491,30.1454
330,Abou El Sid,Cairo Festival City,25,1.9,68.27,31.3415,30.1414
340,Lavazza,City Stars,13,4.2,19.78,31.1486,30.0756
