store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Dunkin,Mohandessin,18,1.8,72.11,31.4516,30.0732
210,Momochi,Rehab,17,1.3,41.11,31.3376,30.1688
220,Piano Piano,New Cairo,19,1.6,72.67,31.2564,29.9167
230,Blue Bottle,Rehab,23,1.0,74.89,31.3594,30.0739
240,Stiletto,Garden City,8,1.8,70.44,31.0392,30.0597
250,Tim Hortons,Americana Plaza,26,3.3,45.81,31.157,30.1077
260,Cairo Kitchen,Katameya,21,2.4,33.17,31.5788,29.9765
270,La Poire,Americana Plaza,28,1.0,73.19,31.3652,29.9727
280,Greco,City Stars,17,2.0,51.41,31.3408,30.1643
290,Bird Cage,5th Settlement,19,3.7,71.66,31.5606,30.0397
300,Espresso House,Mohandessin,14,3.4,36.01,31.596,30.058
310,Arabica,Dokki,26,2.0,74.23,31.3062,30.1941
320,Abou El Sid,5th Settlement,5,3.0,33.44,31.4133,29.9937
330,Nero Caffè,Sheraton,12,2.7,63.98,31.3333,30.0198
340,Beano's,Maadi,19,4.3,40.75,31.4988,30.1244
