store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Auntie Anne's,Sheikh Zayed,5,2.2,53.48,31.4989,30.0718
210,Taboula,Mall of Arabia,6,4.0,57.67,31.3266,30.0801
220,La Poire,Mohandessin,20,1.3,19.49,31.4974,30.0823
230,Hard Rock Cafe,Agouza,23,1.9,44.85,31.0993,29.9275
240,Peet's Coffee,Katameya,15,2.5,35.88,31.0993,30.0545
250,Cairo Kitchen,El Tagamoa,20,3.9,62.54,31.4218,30.1857
260,Maison Thomas,October Plaza,9,1.0,21.96,31.3618,30.0354
270,Mozzarella,Zamalek,10,2.9,17.27,31.339,29.9714
280,Stage One,El Tagamoa,8,3.0,33.87,31.1083,30.0545
290,Sangria,Cairo Festival City,25,4.9,66.91,31.201,30.0391
300,Street 9,New Cairo,25,2.3,70.19,31.4986,30.0542
310,Brioche Dorée,October Plaza,17,4.1,29.89,31.3022,30.0694
320,Drip,Katameya,26,4.2,27.3,31.1943,30.1289
330,Nero Caffè,Maadi,28,4.7,23.01,31.5378,29.9753
340,Café Corniche,Dokki,20,1.1,38.59,31.5987,29.9304
