store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Greco,Zamalek,22,4.0,46.56,31.1771,30.093
210,Cilantro,Garden City,7,2.2,66.48,31.4968,30.081
220,Blue Bottle,Katameya,14,3.3,47.04,31.2419,29.9137
230,LuckyEgypt,Garden City,16,4.1,25.44,31.1459,29.9623
240,Brown Nose,Korba,19,4.0,66.74,31.0881,29.9206
250,Costa Coffee,Nasr City,25,3.5,50.68,31.4461,30.1062
260,Segafredo,Heliopolis,22,1.1,32.96,31.394,30.0507
270,Pier 88,Americana Plaza,24,4.4,67.62,31.4817,29.927
280,Flavour Republic,El Tagamoa,18,1.2,37.14,31.2334,30.1808
290,Chickin Worx,Katameya,5,4.1,58.57,31.1578,30.1118
300,The Tap,Mohandessin,12,1.9,61.39,31.3853,30.1893
310,Beano's,Garden City,22,3.8,60.92,31.3313,30.0221
320,Casper & Gambini's,5th Settlement,14,2.3,67.46,31.2601,30.1299
330,Lucille's,Zamalek,13,2.3,55.55,31.1593,29.9057
340,Coffee #1,Rehab,13,4.6,34.43,31.5177,30.1343
