store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Dunkin,5th Settlement,7,3.2,61.07,31.3862,29.9167
210,Cairo Kitchen,Sheraton,26,3.3,15.41,31.0859,30.0271
220,Kaito,October Plaza,29,4.2,55.36,31.0287,29.9407
230,Gloria Jean's,City Stars,18,3.6,63.05,31.2136,30.0581
240,Bua Khao,Madinet Nasr,28,1.6,73.54,31.074,30.173
250,Espresso House,Mohandessin,11,4.8,42.84,31.3996,30.0863
260,Illy,Mohandessin,24,1.1,23.3,31.1459,30.0059
270,Lucille's,Mall of Arabia,12,1.5,45.21,31.3793,30.0991
280,TBS,Mohandessin,27,4.8,23.2,31.2066,30.1631
290,Segafredo,Sheraton,9,4.5,63.71,31.3223,30.1779
300,Flavour Republic,City Stars,29,4.2,31.85,31.2782,30.1543
310,Salt,6th October,8,2.7,55.72,31.1356,30.105
320,Mince,Rehab,28,3.2,56.85,31.3718,30.0277
330,Sangria,Agouza,12,1.7,52.56,31.2784,29.9756
340,Stage One,Sheraton,10,4.8,30.86,31.5904,29.9534
