store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Al Masryeen,Agouza,7,2.8,59.44,31.0629,30.1245
210,Black Horse,Americana Plaza,5,3.3,45.63,31.4889,30.0111
220,Coffee #1,5th Settlement,30,1.7,46.93,31.5861,29.9077
230,Left Bank,Dokki,11,3.6,17.42,31.4005,30.174
240,TBS,6th October,14,2.5,57.85,31.5494,30.0776
250,Mandarine Koueider,City Stars,22,3.1,66.73,31.1821,30.1267
260,Moishi,Korba,24,1.4,22.34,31.2528,30.0998
270,Felfela,Dokki,29,2.1,43.86,31.154,30.1939
280,Deli 29,El Tagamoa,7,4.3,43.76,31.1619,29.9773
290,Pier 88,Madinet Nasr,6,3.3,50.97,31.1565,30.0534
300,LuckyEgypt,Korba,5,2.8,58.8,31.3816,29.987
310,Cairo Kitchen,Mohandessin,13,3.4,22.84,31.3598,29.9917
320,Tabasco,Rehab,17,2.4,36.94,31.5878,29.9996
330,The Tap,Maadi,18,2.8,40.69,31.5273,30.1536
340,Pottery Cafe,Zamalek,13,4.5,45.46,31.0395,30.052
