store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
100,TBS,Zamalek,8,4.5,45.0,31.2226,30.0606
200,Dunkin,New Cairo,12,4.2,35.0,31.4239,30.0272
300,Costa Coffee,Maadi,6,4.7,50.0,31.2636,29.9602
400,Cilantro,Heliopolis,10,4.3,40.0,31.3216,30.0875
500,Beano's,6th October,7,4.1,38.0,30.9232,29.9668
600,Paul,Zamalek,5,4.8,60.0,31.2195,30.0594
700,Starbucks,New Cairo,15,4.4,55.0,31.4352,30.0331
800,Cinnabon,Nasr City,9,4.0,42.0,31.3398,30.0566
900,Auntie Anne's,Sheikh Zayed,11,3.9,30.0,30.9746,30.0208
1000,Gourmet,Dokki,8,4.6,48.0,31.2115,30.0384
