store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Al Masryeen,Heliopolis,30,3.1,36.88,31.4201,30.1521
210,The Tap,October Plaza,18,3.7,35.89,31.5784,29.9103
220,Tim Hortons,Garden City,7,4.7,32.09,31.1977,29.9454
230,La Poire,6th October,11,5.0,52.21,31.5472,30.1318
240,Black Horse,Nasr City,6,3.7,57.43,31.2582,29.9808
250,Le Deck,Mohandessin,9,4.0,54.76,31.0075,30.0985
260,Cinnabon,Rehab,26,5.0,66.53,31.1667,30.0495
270,Stiletto,El Tagamoa,10,2.5,33.91,31.0002,30.041
280,L'Aroma,Zamalek,23,4.1,40.85,31.5952,30.113
290,Sachi,Agouza,26,4.0,44.6,31.0262,30.0884
300,Dunkin,Heliopolis,10,2.8,35.34,31.1202,30.1424
310,Mori Sushi,Dokki,27,2.5,70.96,31.0435,30.0902
320,Street 9,Americana Plaza,14,2.7,72.96,31.3643,30.0196
330,Felfela,Americana Plaza,18,3.6,18.07,31.1709,29.9565
340,Zooba,Garden City,28,1.6,43.93,31.4664,30.1357
