store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Espresso House,Madinet Nasr,19,2.4,41.29,31.4515,30.0987
210,Salt,City Stars,8,3.1,40.54,31.4509,30.0731
220,L'Aubergine,El Tagamoa,22,3.7,31.63,31.0885,30.1362
230,Harris + Hoole,Rehab,12,4.0,33.29,31.2951,29.9792
240,Blue Bottle,5th Settlement,20,1.6,53.57,31.471,29.9414
250,Birdcage,October Plaza,10,3.2,52.09,31.0817,30.0005
260,Al Masryeen,New Cairo,7,1.1,22.59,31.1479,30.0839
270,Caviar & Bull,Madinet Nasr,14,1.3,19.43,31.4861,29.9799
280,Kaito,Dokki,20,1.5,20.12,31.372,30.0694
290,Osmow's,New Cairo,6,4.7,46.49,31.277,29.9059
300,Lavazza,Nasr City,23,2.3,24.72,31.3947,30.0463
310,Arabica,Korba,10,3.0,49.84,31.4121,30.0868
320,Momochi,El Tagamoa,29,4.0,51.95,31.1911,30.1312
330,Le Deck,Mohandessin,21,4.2,65.65,31.2621,30.0682
340,Tabasco,Nasr City,7,4.8,40.19,31.5352,30.0722
