customer_id,longitude,latitude,store200_valuation,store210_valuation,store220_valuation,store230_valuation,store240_valuation,store250_valuation,store260_valuation,store270_valuation,store280_valuation,store290_valuation,store300_valuation,store310_valuation,store320_valuation,store330_valuation,store340_valuation
1,31.1689,30.0022,2.9,1.0,3.7,4.8,4.9,3.5,2.4,2.7,1.9,1.4,4.0,1.7,4.9,3.2,4.5
2,31.2473,30.0783,4.4,2.1,4.9,1.4,2.0,2.2,1.0,4.8,3.3,2.3,3.2,2.6,4.1,3.8,1.3
3,31.3942,30.0919,2.9,4.9,1.6,2.8,2.0,3.2,3.0,2.8,1.5,4.5,1.4,1.3,1.2,2.8,3.6
4,31.1482,29.9881,1.8,4.3,2.3,3.4,1.3,1.4,4.7,3.0,4.0,2.9,4.2,4.5,3.0,1.2,1.1
5,31.1597,29.9089,1.7,2.7,2.1,1.4,2.2,4.3,3.0,2.3,4.6,4.9,1.9,4.1,3.1,4.0,2.3
6,31.0236,29.9664,4.5,3.8,2.2,1.2,4.0,1.9,4.4,3.8,1.3,2.6,1.1,3.1,4.4,4.3,4.4
7,31.5893,29.962,3.5,2.8,3.3,2.8,2.9,3.6,4.6,3.2,3.2,1.4,2.0,2.1,2.1,4.3,1.8
8,31.4737,29.9108,2.0,3.7,4.6,4.6,2.4,4.4,2.1,1.3,3.5,3.6,4.8,3.4,3.6,1.9,2.5
9,31.0424,29.9816,3.0,1.5,1.2,2.0,4.0,4.0,4.8,4.5,4.6,4.7,2.4,4.6,1.7,2.0,4.1
10,31.3634,30.0702,2.5,3.6,4.8,1.1,4.6,2.9,2.8,4.8,1.4,4.9,4.1,2.0,3.6,1.2,4.0
11,31.4368,29.909,4.6,2.7,3.8,4.2,3.1,3.4,3.8,1.0,3.0,4.0,3.0,2.6,3.8,4.1,2.4
12,31.1766,30.0388,4.1,4.9,2.7,4.2,1.5,1.7,3.5,4.1,3.6,3.5,2.3,1.4,3.0,4.3,4.9
13,31.3487,29.9332,4.1,1.3,2.4,1.3,1.8,3.1,2.5,1.3,3.3,3.3,2.4,4.2,2.7,1.2,4.3
14,31.2552,30.1873,3.3,3.0,3.6,3.2,3.5,2.6,2.7,1.6,3.7,2.2,1.5,1.2,3.5,4.4,1.9
15,31.1765,29.9229,1.0,3.1,4.6,1.2,3.4,3.7,2.7,1.4,1.4,2.2,4.0,1.8,1.1,3.8,4.0
16,31.5437,30.1631,1.1,2.0,2.7,3.6,1.9,3.2,3.4,1.1,1.2,2.2,2.9,1.8,1.8,3.4,2.4
