store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,L'Aubergine,Nasr City,12,2.4,29.68,31.5186,29.938
210,Koffee Kulture,October Plaza,11,2.7,44.1,31.1849,30.1939
220,Al Masryeen,Korba,19,3.9,57.86,31.2534,30.0926
230,Nero Caffè,City Stars,20,2.8,48.32,31.5915,29.9753
240,Mandarine Koueider,Cairo Festival City,29,4.8,41.38,31.4941,29.9059
250,Blue Bottle,El Tagamoa,26,2.4,27.72,31.3304,29.9294
260,Krispy Kreme,Korba,11,2.1,54.94,31.0382,30.1844
270,Casper & Gambini's,Sheikh Zayed,15,3.3,72.51,31.4806,30.0657
280,Cairo Kitchen,Mohandessin,20,1.1,72.85,31.562,29.9276
290,Cinnabon,Garden City,21,3.0,74.52,31.3872,30.1158
300,Tabasco,Rehab,5,2.9,63.24,31.1012,29.9928
310,Mince,6th October,23,3.6,34.01,31.1608,29.9704
320,Zooba,Maadi,18,3.8,57.7,31.1694,29.9751
330,Segafredo,Maadi,16,2.1,30.18,31.2877,30.1231
340,TBS,City Stars,5,1.6,33.42,31.1301,30.0834
